user_id;country;sex;height;weight;age;years_cl;grades_count;grades_first;grades_last;grades_max;grades_mean;year_first;year_last
23846;HRV;0;179;68;27;11;42;49;46;55;41.04761905;2008;2009
23847;NOR;0;177;73;41;20;30;44;33;46;40.03333333;2008;2006
23853;DEU;0;183;78;28;9;6;42;42;44;41.66666667;2008;2010
23854;NLD;0;189;73;35;15;314;53;57;59;50.71019108;2008;2017
23860;AUS;0;182;68;30;10;4;49;53;53;49.75;2008;2008
23862;USA;0;174;58;24;9;21;46;48;55;49;2009;2009
23866;RUS;1;178;53;26;11;22;44;42;53;39.40909091;2007;2010
23868;ITA;0;184;73;34;12;90;51;51;62;48.55555556;2007;2015
23869;other;0;178;63;36;12;33;29;49;49;38.78787879;2007;2010
23870;ITA;0;178;68;39;9;4;33;42;42;37.25;2008;2009
23872;USA;0;179;68;41;20;1;51;51;51;51;2008;2008
23873;DEU;0;176;73;37;11;36;38;42;52;41.33333333;2008;2012
23874;FIN;0;196;78;43;12;167;36;33;49;36.01197605;2009;2015
23875;USA;0;181;73;36;14;11;42;46;51;42.54545455;2008;2008
23876;USA;0;172;68;37;14;18;36;45;46;37.27777778;2007;2010
23880;USA;0;189;83;35;19;12;46;46;55;49.08333333;2008;2010
23883;DEU;1;166;53;23;19;32;53;57;57;46.09375;2008;2011
23889;BRA;0;185;83;34;10;6;38;31;40;37.83333333;2008;2008
23896;GBR;0;178;68;38;19;20;46;44;51;45.7;2008;2010
23897;FRA;0;185;68;27;11;20;39;51;57;47.6;2008;2010
23898;DEU;0;178;78;31;12;28;42;51;55;45.5;2008;2012
23899;ESP;0;185;73;46;12;483;36;44;59;45.36024845;2008;2017
23908;FIN;1;151;43;57;20;7;40;38;40;37.57142857;2008;2008
23914;other;0;187;73;29;10;26;59;62;63;56.38461538;2010;2017
23921;AUS;0;180;68;47;24;60;57;53;59;47.93333333;2008;2013
23926;ESP;1;160;58;31;9;399;31;38;53;38.83709273;2008;2013
23927;DEU;0;180;73;33;10;25;36;36;49;36.44;2009;2012
23929;FRA;0;170;58;26;12;17;49;51;53;44.70588235;2007;2009
23937;GBR;0;187;78;33;19;82;48;53;59;52.17073171;2008;2011
23938;USA;0;173;63;26;13;13;66;58;66;60.46153846;2008;2010
23944;GBR;0;188;78;29;11;26;35;38;42;35.23076923;2008;2014
23949;FRA;0;182;73;29;12;40;36;40;54;40.225;2008;2017
23953;USA;1;173;53;28;10;2;36;36;36;36;2009;2009
23954;FRA;1;160;48;24;12;1;46;46;46;46;2009;2009
23956;ESP;0;173;63;26;10;1860;44;53;64;48.91451613;2008;2017
23972;ITA;0;183;78;28;10;20;52;40;64;54.8;2009;2016
23976;ESP;0;177;73;32;10;24;51;49;53;50.16666667;2010;2016
23977;USA;1;168;53;59;26;2;62;62;62;62;2009;2008
23979;USA;0;182;88;28;11;19;33;29;49;34.10526316;2009;2009
23983;ESP;0;179;73;38;9;563;35;38;55;40.18827709;2008;2017
23996;ITA;0;190;78;41;11;10;46;44;46;39;2008;2010
24004;ITA;0;175;68;56;11;1;44;44;44;44;2008;2008
24008;CAN;1;162;53;42;24;40;51;49;59;53;2003;2009
24010;POL;0;182;73;29;11;28;42;50;50;41.5;2008;2009
24019;POL;0;190;73;36;13;9;36;36;38;35.11111111;2008;2014
24020;AUS;0;188;78;47;9;33;42;38;53;42;2009;2011
24023;RUS;0;186;73;32;15;46;62;53;63;53.32608696;2008;2013
24024;other;0;178;73;28;12;5;53;57;57;53.6;2008;2009
24029;USA;0;178;68;30;9;16;38;53;53;44.625;2008;2014
24038;ITA;1;156;48;32;10;67;40;55;55;42.56716418;2008;2012
24043;AUS;0;180;68;31;11;47;46;51;59;48.04255319;2009;2016
24045;POL;0;174;58;32;18;329;72;62;77;64.63221884;2008;2017
24046;USA;1;165;58;35;15;87;46;49;55;46.66666667;2008;2015
24047;ESP;1;162;53;44;9;13;33;33;38;34.76923077;2008;2008
24048;ITA;0;176;73;31;10;216;40;61;61;47.46759259;2009;2017
24059;ESP;0;173;58;27;13;14;55;59;62;52.28571429;2008;2009
24063;CAN;1;154;43;35;10;6;51;49;55;51;2009;2009
24069;CHE;0;186;73;33;13;148;38;49;61;47.88513514;2008;2016
24071;MEX;0;173;68;33;9;1;38;38;38;38;2008;2008
24078;NLD;1;158;53;37;10;65;29;42;49;35.72307692;2008;2015
24079;ESP;0;168;68;40;18;9;57;64;64;60.33333333;2010;2012
24083;FRA;0;170;53;25;15;133;61;62;70;58.79699248;2008;2014
24090;ESP;0;179;73;32;9;8;44;49;53;43.875;2009;2010
